,Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
656,"Early Non-Primary, Non-Secondary Syphilis",2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,142,24.8,572612
657,"Early Non-Primary, Non-Secondary Syphilis",2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,243,43.1,564180
658,"Early Non-Primary, Non-Secondary Syphilis",2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,244,44.1,552837
659,"Early Non-Primary, Non-Secondary Syphilis",2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,222,41,542006
660,"Early Non-Primary, Non-Secondary Syphilis",2010,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,239,45,530938
661,"Early Non-Primary, Non-Secondary Syphilis",2009,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,158,30.6,515989
662,"Early Non-Primary, Non-Secondary Syphilis",2008,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,77,15.2,508021
663,Primary and Secondary Syphilis,2020,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,247,40.9,603800
664,Primary and Secondary Syphilis,2019,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,308,51,603800
665,Primary and Secondary Syphilis,2018,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,279,46.4,601033
666,Primary and Secondary Syphilis,2017,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,274,45.9,596314
667,Primary and Secondary Syphilis,2016,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,161,27.3,590270
668,Primary and Secondary Syphilis,2015,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,94,16.1,582430
669,Primary and Secondary Syphilis,2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,116,20.3,572612
670,Primary and Secondary Syphilis,2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,168,29.8,564180
671,Primary and Secondary Syphilis,2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,165,29.8,552837
672,Primary and Secondary Syphilis,2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,165,30.4,542006
673,Primary and Secondary Syphilis,2010,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,134,25.2,530938
674,Primary and Secondary Syphilis,2009,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,163,31.6,515989
675,Primary and Secondary Syphilis,2008,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,146,28.7,508021
676,AIDS prevalence,2020,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7268,1191.2,610153
677,AIDS prevalence,2019,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7420,1223.4,606484
678,AIDS prevalence,2018,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7511,1244.5,603557
679,AIDS prevalence,2017,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7495,1252.6,598356
680,AIDS prevalence,2016,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7590,1282.2,591956
681,AIDS prevalence,2015,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7616,1304.2,583967
682,AIDS prevalence,2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7656,1334.2,573824
683,AIDS prevalence,2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,8120,1436.9,565099
684,AIDS prevalence,2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,8142,1470.7,553615
685,AIDS prevalence,2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7885,1453.5,542473
686,AIDS prevalence,2010,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7943,1495.9,530993
687,AIDS prevalence,2009,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7767,1505.3,515989
688,AIDS prevalence,2008,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,7482,1472.8,508021
689,HIV prevalence,2020,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,13792,2260.4,610153
690,HIV prevalence,2019,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14011,2310.2,606484
691,HIV prevalence,2018,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14050,2327.9,603557
692,HIV prevalence,2017,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14168,2367.8,598356
693,HIV prevalence,2016,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14250,2407.3,591956
694,HIV prevalence,2015,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14122,2418.3,583967
695,HIV prevalence,2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14122,2461,573824
696,HIV prevalence,2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14663,2594.8,565099
697,HIV prevalence,2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14654,2647,553615
698,HIV prevalence,2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,14037,2587.6,542473
699,HIV prevalence,2010,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,13960,2629,530993
700,HIV prevalence,2009,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,12499,2422.3,515989
701,HIV prevalence,2008,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,11948,2351.9,508021
702,Gonorrhea,2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,40765,220.9,18451414
703,Gonorrhea,2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,36789,199.4,18451414
704,Gonorrhea,2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,32625,179.1,18220391
705,Gonorrhea,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,31669,176.4,17957512
706,Gonorrhea,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,28140,159.5,17641893
707,Gonorrhea,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,24111,139.4,17290168
708,Gonorrhea,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,20927,123.3,16969117
709,Gonorrhea,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,20791,124.6,16691675
710,Gonorrhea,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,19443,118.2,16451676
711,Gonorrhea,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,19666,121.3,16218433
712,Gonorrhea,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,20140,125.7,16018372
713,Gonorrhea,2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,20837,133.4,15614267
714,Gonorrhea,2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,23272,150.1,15508926
715,Chlamydia,2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,99996,541.9,18451414
716,Chlamydia,2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,110737,600.2,18451414
717,Chlamydia,2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,104709,574.7,18220391
718,Chlamydia,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,99977,556.7,17957512
719,Chlamydia,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,94691,536.7,17641893
720,Chlamydia,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,90419,523,17290168
721,Chlamydia,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,84141,495.8,16969117
722,Chlamydia,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,80122,480,16691675
723,Chlamydia,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,77568,471.5,16451676
724,Chlamydia,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,75940,468.2,16218433
725,Chlamydia,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,74650,466,16018372
726,Chlamydia,2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,72824,466.4,15614267
727,Chlamydia,2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,70885,457.1,15508926
728,"Early Non-Primary, Non-Secondary Syphilis",2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,,,18451414
729,"Early Non-Primary, Non-Secondary Syphilis",2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,,,18451414
730,"Early Non-Primary, Non-Secondary Syphilis",2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,3939,21.6,18220391
731,"Early Non-Primary, Non-Secondary Syphilis",2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,3033,16.9,17957512
732,"Early Non-Primary, Non-Secondary Syphilis",2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2634,14.9,17641893
733,"Early Non-Primary, Non-Secondary Syphilis",2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2288,13.2,17290168
734,"Early Non-Primary, Non-Secondary Syphilis",2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1886,11.1,16969117
735,"Early Non-Primary, Non-Secondary Syphilis",2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1540,9.2,16691675
736,"Early Non-Primary, Non-Secondary Syphilis",2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1384,8.4,16451676
737,"Early Non-Primary, Non-Secondary Syphilis",2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1212,7.5,16218433
738,"Early Non-Primary, Non-Secondary Syphilis",2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1293,8.1,16018372
739,"Early Non-Primary, Non-Secondary Syphilis",2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1254,8,15614267
740,"Early Non-Primary, Non-Secondary Syphilis",2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1250,8.1,15508926
741,Primary and Secondary Syphilis,2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,,,18451414
742,Primary and Secondary Syphilis,2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,,,18451414
743,Primary and Secondary Syphilis,2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2880,15.8,18220391
744,Primary and Secondary Syphilis,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2388,13.3,17957512
745,Primary and Secondary Syphilis,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2405,13.6,17641893
746,Primary and Secondary Syphilis,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,2082,12,17290168
747,Primary and Secondary Syphilis,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1740,10.3,16969117
748,Primary and Secondary Syphilis,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1513,9.1,16691675
749,Primary and Secondary Syphilis,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1369,8.3,16451676
750,Primary and Secondary Syphilis,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1256,7.7,16218433
751,Primary and Secondary Syphilis,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1184,7.4,16018372
752,Primary and Secondary Syphilis,2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1041,6.7,15614267
753,Primary and Secondary Syphilis,2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,1044,6.7,15508926
754,AIDS prevalence,2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,59371,317.5,18701925
755,AIDS prevalence,2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,59491,322.2,18463032
756,AIDS prevalence,2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,59058,324,18228098
757,AIDS prevalence,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,58732,326.8,17969258
758,AIDS prevalence,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,58095,329.1,17652833
759,AIDS prevalence,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,57661,333.3,17298886
760,AIDS prevalence,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,56596,333.4,16975868
761,AIDS prevalence,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,54986,329.3,16696724
762,AIDS prevalence,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,53796,326.9,16455096
763,AIDS prevalence,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,51242,315.9,16220325
764,AIDS prevalence,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,50140,313,16018853
765,AIDS prevalence,2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,50412,322.9,15614290
766,AIDS prevalence,2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,48506,312.8,15508944
767,HIV prevalence,2020,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,114541,612.5,18701925
768,HIV prevalence,2019,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,113305,613.7,18463032
769,HIV prevalence,2018,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,111068,609.3,18228098
770,HIV prevalence,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,109043,606.8,17969258
771,HIV prevalence,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,106477,603.2,17652833
772,HIV prevalence,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,104052,601.5,17298886
773,HIV prevalence,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,100341,591.1,16975868
774,HIV prevalence,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,96312,576.8,16696724
775,HIV prevalence,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,94099,571.9,16455096
776,HIV prevalence,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,89859,554,16220325
777,HIV prevalence,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,87668,547.3,16018853
778,HIV prevalence,2009,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,87565,560.8,15614290
779,HIV prevalence,2008,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,84686,546,15508944
780,Gonorrhea,2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,23420,264.9,8840489
781,Gonorrhea,2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,21224,240.1,8840489
782,Gonorrhea,2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,20836,238.7,8728144
783,Gonorrhea,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,22638,262.5,8623922
784,Gonorrhea,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,20503,240.8,8513644
785,Gonorrhea,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,15947,190,8394503
786,Gonorrhea,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,13741,165.8,8286248
787,Gonorrhea,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,14219,173.7,8186793
788,Gonorrhea,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,15297,188.7,8106263
789,Gonorrhea,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,16407,205,8003987
790,Gonorrhea,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,15814,199.9,7912888
791,Gonorrhea,2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,13603,171.4,7937126
792,Gonorrhea,2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,16163,206.5,7826864
793,Chlamydia,2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,62499,707,8840489
794,Chlamydia,2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,67604,764.7,8840489
795,Chlamydia,2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,65813,754,8728144
796,Chlamydia,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,65009,753.8,8623922
797,Chlamydia,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,62657,736,8513644
798,Chlamydia,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,57559,685.7,8394503
799,Chlamydia,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,51854,625.8,8286248
800,Chlamydia,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,50923,622,8186793
801,Chlamydia,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,52270,644.8,8106263
802,Chlamydia,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,54314,678.6,8003987
803,Chlamydia,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,45026,569,7912888
804,Chlamydia,2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,39533,498.1,7937126
805,Chlamydia,2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,42255,539.9,7826864
806,"Early Non-Primary, Non-Secondary Syphilis",2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1719,19.4,8840489
807,"Early Non-Primary, Non-Secondary Syphilis",2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1733,19.6,8840489
808,"Early Non-Primary, Non-Secondary Syphilis",2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1517,17.4,8728144
809,"Early Non-Primary, Non-Secondary Syphilis",2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1218,14.1,8623922
810,"Early Non-Primary, Non-Secondary Syphilis",2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1263,14.8,8513644
811,"Early Non-Primary, Non-Secondary Syphilis",2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1477,17.6,8394503
812,"Early Non-Primary, Non-Secondary Syphilis",2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1078,13,8286248
813,"Early Non-Primary, Non-Secondary Syphilis",2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,863,10.5,8186793
814,"Early Non-Primary, Non-Secondary Syphilis",2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,639,7.9,8106263
815,"Early Non-Primary, Non-Secondary Syphilis",2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,436,5.4,8003987
816,"Early Non-Primary, Non-Secondary Syphilis",2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,636,8,7912888
817,"Early Non-Primary, Non-Secondary Syphilis",2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,767,9.7,7937126
818,"Early Non-Primary, Non-Secondary Syphilis",2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,562,7.2,7826864
819,Primary and Secondary Syphilis,2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,,,8840489
820,Primary and Secondary Syphilis,2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1750,19.8,8840489
821,Primary and Secondary Syphilis,2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1606,18.4,8728144
822,Primary and Secondary Syphilis,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1489,17.3,8623922
823,Primary and Secondary Syphilis,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1350,15.9,8513644
824,Primary and Secondary Syphilis,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1413,16.8,8394503
825,Primary and Secondary Syphilis,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1234,14.9,8286248
826,Primary and Secondary Syphilis,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,1017,12.4,8186793
827,Primary and Secondary Syphilis,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,937,11.6,8106263
828,Primary and Secondary Syphilis,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,678,8.5,8003987
829,Primary and Secondary Syphilis,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,795,10,7912888
830,Primary and Secondary Syphilis,2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,953,12,7937126
831,Primary and Secondary Syphilis,2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,912,11.7,7826864
832,AIDS prevalence,2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,28297,316.3,8945129
833,AIDS prevalence,2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,27942,315.7,8850817
834,AIDS prevalence,2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,27420,313.9,8734638
835,AIDS prevalence,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,26770,310.2,8628924
836,AIDS prevalence,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,25919,304.3,8518147
837,AIDS prevalence,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,25518,303.9,8398181
838,AIDS prevalence,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,24985,301.4,8289125
839,AIDS prevalence,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,25833,315.5,8189042
840,AIDS prevalence,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,23613,291.2,8107803
841,AIDS prevalence,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,22424,280.1,8004809
842,AIDS prevalence,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,21838,276,7913103
843,AIDS prevalence,2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,18655,235,7937181
844,AIDS prevalence,2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,17533,224,7826920
845,HIV prevalence,2020,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,57561,643.5,8945129
846,HIV prevalence,2019,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,56486,638.2,8850817
847,HIV prevalence,2018,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,54668,625.9,8734638
848,HIV prevalence,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,52702,610.8,8628924
849,HIV prevalence,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,50662,594.8,8518147
850,HIV prevalence,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,48916,582.5,8398181
851,HIV prevalence,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,46983,566.8,8289125
852,HIV prevalence,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,47364,578.4,8189042
853,HIV prevalence,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,43549,537.1,8107803
854,HIV prevalence,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,41397,517.2,8004809
855,HIV prevalence,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,40154,507.4,7913103
856,HIV prevalence,2009,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,33575,423,7937181
857,HIV prevalence,2008,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,31510,402.6,7826920
858,Gonorrhea,2020,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1477,123.6,1194872
859,Gonorrhea,2019,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1490,124.7,1194872
860,Gonorrhea,2018,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1488,124.3,1197138
861,Gonorrhea,2017,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1354,112.9,1198979
862,Gonorrhea,2016,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1463,121.9,1200133
863,Gonorrhea,2015,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1229,103,1193564
864,Gonorrhea,2014,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,1017,85.7,1186903
865,Gonorrhea,2013,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,718,60.8,1180480
866,Gonorrhea,2012,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,813,69.6,1168855
867,Gonorrhea,2011,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,685,59.3,1155996
868,Gonorrhea,2010,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,757,66.2,1144085
869,Gonorrhea,2009,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,631,58.3,1083033
870,Gonorrhea,2008,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,602,55.9,1077788
871,Chlamydia,2020,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6991,585.1,1194872
872,Chlamydia,2019,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,8080,676.2,1194872
873,Chlamydia,2018,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,7719,644.8,1197138
874,Chlamydia,2017,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6839,570.4,1198979
875,Chlamydia,2016,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6882,573.4,1200133
876,Chlamydia,2015,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,7060,591.5,1193564
877,Chlamydia,2014,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6406,539.7,1186903
878,Chlamydia,2013,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6627,561.4,1180480
879,Chlamydia,2012,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6328,541.4,1168855
880,Chlamydia,2011,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6000,519,1155996
881,Chlamydia,2010,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6001,524.5,1144085
882,Chlamydia,2009,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,6018,555.7,1083033
883,Chlamydia,2008,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,5964,553.4,1077788
884,"Early Non-Primary, Non-Secondary Syphilis",2020,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,90,7.5,1194872
885,"Early Non-Primary, Non-Secondary Syphilis",2019,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,95,8,1194872
886,"Early Non-Primary, Non-Secondary Syphilis",2018,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,87,7.3,1197138
887,"Early Non-Primary, Non-Secondary Syphilis",2017,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,58,4.8,1198979
888,"Early Non-Primary, Non-Secondary Syphilis",2016,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,89,7.4,1200133
889,"Early Non-Primary, Non-Secondary Syphilis",2015,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,56,4.7,1193564
890,"Early Non-Primary, Non-Secondary Syphilis",2014,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,25,2.1,1186903
